"X50.","X5.","X95.","CAS","Css_h","BMD50.Css","BMD5.Css","BMD95.Css"
2.4338580445,0.08101881715,12.5933013985,"100-01-6",804.6,1958.2821826047,65.18774027889,10132.5703052331
109.886369,78.874148189,392.477909335,"105-60-2",5.442,598.001620098,429.233114444538,2135.86478260107
3.492671543,1.38668985845,19.497001425,"106-46-7",0.6005,2.0973492615715,0.832707259999225,11.7079493557125
0.047900053,0.03030291305,0.0822875505,"106-47-8",18.05,0.86459595665,0.5469675805525,1.485290286525
43.51905228,30.6601258885,277.04512458,"108-95-2",0.7144,31.090010948832,21.9035939347444,197.921036999952
30.97438821,23.087973713,42.083786575,"115-96-8",4.232,131.08361090472,97.708304753416,178.0985847854
279.11291215,52.909683369,324.508395,"117-84-0",853.1,238111.225355165,45137.2508820939,276838.1117745
4.6135441465,2.7565300083,11.2107899615,"13674-87-8",12.42,57.30021829953,34.236102703086,139.23801132183
19.43763738,4.1064522701,66.4244858805,"149-30-4",2.941,57.16609153458,12.0770761263641,195.35441297455
0.2651103435,0.11094358035,0.4122545376,"1763-23-1",336.5,89.20963058775,37.332514787775,138.7236519024
0.1816743565,0.0670804301,0.40155663255,"2385-85-5",5721,1039.3589935365,383.7671406021,2297.30549481855
30.201387645,14.6425590295,154.9125569,"29420-49-3",70.29,2122.85553756705,1029.22547418355,10888.803624501
0.7933309625,0.45967321515,1.5516183491,"375-95-1",998.2,791.9029667675,458.84580336273,1548.82543607162
0.9676155675,0.3244471665,50.8515839424998,"72-55-9",0.1896,0.183459911598,0.0615151827684,9.64146031549796
3.874168249,1.85059459155,5.11923900245,"75-60-5",3.742,14.497137587758,6.9249249615801,19.1561923471679
11.379251815,3.76396829005,20.873662745,"77-47-4",25010,284595.08789315,94136.8469341505,522050.30525245
1737.947205,1154.71172305,2605.95921825,"78-93-3",0.07283,126.57469494015,84.0976547897315,189.792009865148
221.08715685,171.026668305,412.663192775,"85-68-7",3.863,854.05968691155,660.676019662215,1594.11791368983
200.36168235,106.378265105,400.93891199,"92-52-4",10.66,2135.855533851,1133.9923060193,4274.0088018134
2.899559235,0.2937233153,56.2112305335,"92-84-2",1079,3128.624414565,316.9274572087,60651.9177456465
0.3903467065,0.07200328485,65.2298354549998,"93-76-5",208.4,81.3482536346,15.00548456274,13593.897708822
3.279781896,0.96798170265,24.936766151,"95-94-3",59.35,194.6550555276,57.4497140522775,1479.99707106185
0.272491805,0.1812258402,0.814653166849998,"98-95-3",0.7494,0.204205358667,0.13581064464588,0.610501083237388
2.815000765,0.01236321925,18.5842675735,"99-08-1",2.055,5.784826572075,0.02540641555875,38.1906698635425
0.1995491535,0.16782395585,0.2467023862,"99-65-0",8.315,1.6592512113525,1.39545619289275,2.051330341253
10.1940661,3.78565699665,26.856664517,"99-99-0",0.5573,5.68115303753,2.10974664423305,14.9672191353241
