"X50.","X5.","X95.","CAS"
0.514600560006204,0.017168334511202,2.74210032678296,"100-01-6"
19.4796053290897,11.7863951109133,64.6803919268191,"105-60-2"
1.96867930786894,0.749836678029828,10.9657552442885,"106-46-7"
0.00764273274666986,0.00452194196410366,0.0138610098171312,"106-47-8"
8.76041998686955,5.7409135546109,52.786277785872,"108-95-2"
2.29819796029488,0.539718376391303,9.73451598281426,"115-96-8"
50.5046856180802,10.0712546565108,69.5688781967632,"117-84-0"
1.07308541090852,0.619574246041599,2.581619669026,"13674-87-8"
1.43371483085383,0.198530172096489,8.88281182676782,"149-30-4"
0.0543257677616316,0.0214313897309246,0.0954379016743162,"1763-23-1"
0.0382685997525338,0.0135652982795843,0.0858734142445628,"2385-85-5"
3.08476045133043,1.32984476797069,15.98859381569,"29420-49-3"
0.0893169475380276,0.0448633844821841,0.189565371098742,"375-95-1"
0.167633745842225,0.0544798925198247,8.12394270898294,"72-55-9"
0.387710849468738,0.183704991828367,0.610419556937584,"75-60-5"
0.766610347935264,0.139532345429668,3.80727980248112,"77-47-4"
298.506158677222,184.273207002893,469.920666026093,"78-93-3"
20.0820341562743,4.60670063434416,87.7080013417849,"85-68-7"
42.7215091364848,21.4245076944457,90.8897580313352,"92-52-4"
0.593240424782174,0.0360854863097745,12.3668232813432,"92-84-2"
0.0847720998460072,0.0155670114606101,14.8671331472727,"93-76-5"
0.392005246916792,0.113007635639386,3.09438541919854,"95-94-3"
0.0253630971718814,0.00512870688926626,0.130689834115832,"98-95-3"
0.198896442038066,0.0007734608897553,2.26592657483812,"99-08-1"
0.0160064442312986,0.00384642324317678,0.064542445415524,"99-65-0"
1.63408820457116,0.580842092319137,4.3600056287449,"99-99-0"
