bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,38,0.65723559,0.114049093,0.247871967,0.101061772,0.100996839,0.327671635,0.30893942,0.268296987
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,39,0.244793202,0.202143053,0.304945858,0.178170424,0.138694303,0.628542212,0.279866176,0.354092401
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,40,0.225667387,0.170589557,0.176832502,0.094171918,0.114927077,0.331967738,0.283652889,0.211308959
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,41,0.176766759,0.210871343,0.182500495,0.095809325,0.141374703,0.300660334,0.243844517,0.193272351
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,42,0.162329542,0.210871343,0.167518423,0.140785135,0.104345473,0.372658042,0.217441173,0.200660893
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,43,0.271595711,0.185527654,0.178510759,0.088888739,0.12629436,0.301738082,0.221524042,0.26394937
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,44,0.195647119,0.184587931,0.284692086,0.063133918,0.125273279,0.357998407,0.210738137,0.25125563
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,45,0.160551186,0.164433206,0.279808733,0.130943657,0.113886497,0.24304032,0.261235828,0.230243989
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,46,0.103054456,0.193543169,0.341295737,0.106724642,0.136779313,0.195658073,0.271650794,0.294047205
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,47,0.34735434,0.152126624,0.364330749,0.151714595,0.134514853,0.188645962,0.26591062,0.28825606
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,48,0.306536532,0.212190092,0.365879953,0.18909923,0.155060944,0.199095193,0.266844669,0.251010131
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,49,0.122298692,0.170535676,0.37600795,0.137112422,0.108131379,0.254853573,0.273383788,0.261377428
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,50,0.124623062,0.171770656,0.337622301,0.13084324,0.124438565,0.254853573,0.268157356,0.226405696
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,51,0.224557915,0.166835946,0.369610492,0.174188762,0.143525868,0.342492188,0.257155113,0.279170238
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,52,0.198863247,0.224643969,0.369843865,0.16296972,0.137828508,0.328915423,0.275644849,0.209717811
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,53,0.169617878,0.188651113,0.36899804,0.062634547,0.163832985,0.389520563,0.282793459,0.231871134
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,54,0.227967411,0.169092269,0.383251943,0.034122234,0.190507758,0.389520563,0.287408712,0.199910085
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,55,0.151374633,0.165262326,0.383251943,0.024615964,0.092657052,0.604990733,0.287791539,0.270076999
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,56,0.167792389,0.159692697,0.38217891,0.010602435,0.189940631,0.635067195,0.294512895,0.280262333
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,57,0.158470374,0.148553498,0.388943887,0.012092297,0.266945817,0.692293453,0.357649081,0.233604944
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,58,0.36474648,0.169210805,0.388943887,0.011551439,0.162748272,0.692293453,0.35694811,0.202254133
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,59,0.124266795,0.124928867,0.389664579,0.011456293,0.15544468,0.692293453,0.327053017,0.192062689
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,60,0.218053836,0.192210501,0.389664579,0.008235023,0.146196373,1.412509898,0.370171273,0.192062689
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,61,0.198824705,0.210801363,0.389664579,0.010942393,0.122143339,1.342584302,0.372738348,0.192062689
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,62,0.176690645,0.147313036,0.382518112,0.004814683,0.113311929,3.281132891,0.376531999,0.187834503
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,63,0.225472711,0.172579763,0.359014687,0.005501643,0.108280164,4.336363382,0.375915075,0.187834503
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,64,0.187217178,0.171337457,0.37304812,0.007381929,0.08242447,3.453968934,0.369696456,0.187834503
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,65,0.119340851,0.184193534,0.373384021,0.003117632,0.144965694,2.796545021,0.359409025,0.205728713
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,66,0.138084718,0.181813747,0.359018426,0.009615126,0.166853861,4.35114233,0.363934637,0.186483959
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,67,0.217855181,0.182507563,0.330033931,0.003887626,0.170317293,5.67831074,0.332932065,0.186483959
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,68,0.325349975,0.137287336,0.36695592,0.005930572,0.091890733,2.433862381,0.374767578,0.274622722
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,69,0.391895896,0.283951564,0.3758218,0.003981521,0.141113636,3.503400645,0.372401253,0.213949504
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,70,0.208281995,0.17771143,0.384577301,0.006066334,0.158204112,2.703140981,0.357802344,0.213949504
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,71,0.151690235,0.190325857,0.369152237,0.00530358,0.106970464,0.176536283,0.342492386,0.256896669
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,72,0.174289142,0.187056733,0.369152237,0.004396905,0.36521095,0.218379402,0.393235111,0.188572671
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,73,0.129862195,0.146794481,0.378911699,0.012927188,0.114975592,0.164906327,0.379460871,0.191900162
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,74,0.1229738,0.151382451,0.378911699,0.008974981,0.249682402,0.123702943,0.355877967,0.191900162
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,75,0.223893104,0.207287091,0.375265065,0.002712916,0.134062347,0.210762467,0.366218045,1.224304749
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,76,0.26065487,0.167424072,0.375265065,0.004401358,0.134717683,0.352461948,0.378593402,0.546459156
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,77,0.173682757,0.150239578,0.368471718,0.002051702,0.206364059,0.176628009,0.383026116,0.394720142
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,78,0.134845734,0.196797477,0.366931843,0.003585978,0.197213537,0.166536299,0.381461117,0.41654393
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,79,0.189539925,0.129518709,0.364556599,0.003585978,0.121864523,0.14046378,0.371640348,0.393078588
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,80,0.136004174,0.133266547,0.369483156,0.005393982,0.233133633,0.140571231,0.359391059,0.352483235
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,81,0.22906385,0.144026659,0.374254785,0.003194325,0.16898793,0.13558175,0.340360004,0.267583038
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,82,0.142207821,0.182041202,0.371990816,0.006108197,0.245460222,0.247162383,0.35503901,0.232676223
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,83,0.126218474,0.397734975,0.342537622,0.008485344,0.965080871,0.275740098,0.354508227,0.220968722
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,84,0.175062438,0.193594302,0.276844342,0.004706605,3.765255261,0.177976785,0.360533026,0.19141915
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,85,0.142140828,0.288164575,0.27025087,0.004442243,3.576210307,0.298135055,0.371926495,0.220526659
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,86,0.730738768,0.44414297,0.387073714,0.011996195,0.280979991,0.344046312,0.365897624,0.202785121
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,87,0.289455335,0.516755644,0.374608382,0.008686283,0.250403529,0.293580123,0.348257881,0.202785121
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,88,0.155429515,0.516755644,0.327796738,0.006004495,0.254885806,0.329790982,0.346742703,0.221623545
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,89,0.162461935,0.253542806,0.261420644,0.009410255,0.141019251,0.109476292,0.372410632,0.221623545
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,90,0.159257615,0.193555949,0.255287402,0.007509147,0.325631226,0.161217876,0.377897415,0.185364947
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,91,0.129790725,0.146167015,0.303736322,0.008713969,0.133226202,0.16494953,0.380720675,0.18638314
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,92,0.275910951,0.129064898,0.306995974,0.015177068,0.111543315,0.13786976,0.3672438,0.18638314
