bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,39,36.43874232,54.91110505,50.83317924,0.825591918,0.663758401,2.594136319,63.66849578,19.75925812
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,40,40.97176759,111.6934682,55.51784673,0.546146741,0.950171307,3.118690941,80.68448021,162.0307096
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,41,25.52627915,24.93527999,60.17241326,0.542039452,0.720593791,3.440518127,52.36661697,162.0307096
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,42,30.38564174,40.09368378,49.68631961,0.893770687,0.79790316,4.218405127,56.70103773,54.14999447
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,43,33.09001224,22.78274707,53.86827565,0.474831365,0.671283498,3.099793216,56.32077482,33.22465802
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,44,22.00371801,24.67147664,53.55662793,0.643495604,0.501158901,3.569512001,55.20961463,39.61508293
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,45,23.9515003,39.45260138,30.16311755,0.759659992,0.54560724,4.022334722,56.41260819,29.93471127
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,46,51.78862179,35.98673251,30.65012446,0.70805613,0.670329516,4.758642925,50.13595752,31.75442038
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,47,62.28923886,33.92361488,43.07026733,0.437080685,0.517285895,2.901191665,50.13595752,30.70742707
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,48,60.90791584,29.44818439,46.54318472,0.423635949,0.49819514,1.582610826,50.18244042,36.83892918
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,49,26.14006192,52.53586637,45.22763533,0.333952756,0.655400801,2.018787131,48.07545409,47.61839774
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,50,52.59260986,36.79827026,46.19236737,0.394641936,0.794790645,1.090808522,47.71120313,30.95571941
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,51,23.09090762,54.16519292,48.68732167,0.327219286,0.866555312,1.00885036,52.78576082,26.47428766
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,52,21.8841004,40.8555984,47.64165643,0.781539898,0.730690974,1.00885036,50.27969475,24.69920795
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,53,28.93350486,71.9548896,47.56195877,0.34386566,0.927260723,1.021128324,51.61328731,69.61992174
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,54,33.11525629,33.95629068,47.75587904,0.34386566,0.717816949,0.570384112,50.72591389,28.97164151
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,55,93.5559266,24.9948075,47.96378744,0.34386566,0.556912425,1.068016893,50.38313474,32.11361336
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,56,21.35685578,26.42780298,47.96378744,0.344834188,0.4733388,2.79014263,50.06404092,25.70838821
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,57,22.23434813,30.62931073,47.83538267,0.395788963,0.499607285,2.75061664,50.21271003,27.23521465
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,58,33.13531726,32.11556838,47.73796111,0.418875683,0.645867978,4.061080653,50.21271003,95.1242619
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,59,23.34100242,37.8422499,47.07398185,0.514697235,0.558088113,3.983575723,50.21271003,95.1242619
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,60,44.70108749,43.53388312,47.68559122,0.528308433,0.619218632,3.442359897,51.43743222,38.60058767
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,61,37.758083,32.10563579,47.86078889,0.904391194,1.499949102,2.707393838,50.32480417,51.07754734
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,62,39.15177917,41.50242189,48.05129411,0.833847777,1.879119019,2.698627759,50.32480417,54.45122571
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,63,31.8862869,25.27340886,48.45462998,0.832470391,2.1664067,3.505100823,50.63226105,28.06447462
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,64,36.22393591,32.47667543,48.40057874,1.43614094,2.592387065,2.350486305,50.47917187,55.5158365
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,65,27.76253929,29.91767557,48.40057874,2.865482843,2.767839524,2.899013267,49.2283724,55.5158365
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,66,46.98174292,25.52547787,47.94589406,2.146264887,1.410466566,3.408084141,49.68641647,36.75754616
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,67,41.58314058,46.71740629,47.94589406,1.630620808,0.99560908,3.46167501,51.11698796,20.19095712
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,68,30.38219803,34.44256333,47.52077045,3.219495818,0.621498582,3.917994382,51.11698796,23.42056131
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,69,40.72933919,38.59419528,47.10059702,2.18168471,0.653961805,2.413222632,51.11698796,20.26794869
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,70,32.36563839,29.89787582,47.01460398,2.386191079,0.74766519,2.026964135,51.11698796,37.29317547
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,71,36.61418888,19.98302909,47.78097715,1.09730892,1.054970245,1.852799862,51.11698796,29.76919273
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,72,59.63226385,80.71080216,48.80986259,1.082704247,0.774187072,1.537585698,51.11698796,31.80147551
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,73,95.73794728,139.9474637,49.25932831,0.820687447,0.664224316,2.62842123,51.76676259,23.651566
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,74,24.93940964,37.93363399,49.19310671,0.820133136,0.725743067,3.968527874,51.76676259,30.84720374
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,75,23.01292576,38.94862548,57.10212258,0.494798493,0.652392281,3.645577483,51.42135709,28.91635249
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,76,39.07902617,32.08667527,53.85363892,0.528220289,0.692187706,2.179800141,51.78762607,22.27016534
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,77,32.86077301,40.65433695,54.12942361,0.658196913,0.674892392,4.084965482,51.27875023,22.09519021
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,78,19.90915196,80.03399534,54.2034072,0.658196913,0.666353481,3.476455034,50.93159335,30.09785152
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,79,22.20682186,43.41426283,61.33733234,0.38147653,0.749020609,2.142963653,52.61022284,33.56137122
