bmr,index,model_average,Logistic,LogLogistic,Probit,LogProbit,QuantalLinear,Multistage2,Weibull,DichotomousHill
"BMR = 10%: Added, BMR: 0.1",41,3.139372397,4.993282484,4.076752161,3.821198878,7.730535851,2.632863435,2.463701154,3.591196009,0.874105852
"BMR = 10%: Added, BMR: 0.1",42,3.961538927,4.307980896,3.973916106,4.836604353,3.499082907,4.223094342,3.033745787,4.385487274,0.673066734
"BMR = 10%: Added, BMR: 0.1",43,12.24816895,2.72127675,3.366418366,5.791952945,3.735983734,3.341615284,6.861847705,4.663027044,0.32645164
"BMR = 10%: Added, BMR: 0.1",44,4.672956521,3.198779773,4.672120874,2.917314247,5.297181814,2.436003221,2.482541802,4.006142841,0.321094737
"BMR = 10%: Added, BMR: 0.1",45,2.939452925,4.824458708,3.814467335,3.452593788,3.921990186,2.436003221,2.118890291,4.018888279,0.397203852
"BMR = 10%: Added, BMR: 0.1",46,7.683991128,4.296662192,4.985349146,3.725623685,4.284580938,1.966572783,3.358488884,3.836776995,1.177267027
"BMR = 10%: Added, BMR: 0.1",47,6.843996534,3.322585955,4.381269013,4.337970344,5.239852735,3.857338276,3.427629984,3.843284171,1.177267027
"BMR = 10%: Added, BMR: 0.1",48,5.524034153,2.763492081,2.890892785,2.56558791,5.754600467,2.968983076,2.555322647,3.702513057,0.48929702
"BMR = 10%: Added, BMR: 0.1",49,5.008595831,4.244987332,3.122532905,2.56558791,5.373374323,3.47875954,3.851245582,3.733252405,0.48929702
"BMR = 10%: Added, BMR: 0.1",50,5.313441966,3.477250609,4.037867611,4.623136087,4.612334349,3.47875954,4.244853514,3.781195481,0.48929702
"BMR = 10%: Added, BMR: 0.1",51,3.870700846,3.477250609,6.084959478,3.977769114,4.509477889,2.517396678,3.464052556,3.781195481,0.48929702
"BMR = 10%: Added, BMR: 0.1",52,4.377874015,3.609470134,4.940336086,3.093461618,5.725498157,5.313428212,3.630565613,3.791910841,0.973122513
"BMR = 10%: Added, BMR: 0.1",53,5.482553376,3.783526257,4.607160966,5.203789235,6.533274021,4.339537032,2.219630742,3.717555428,0.890726647
"BMR = 10%: Added, BMR: 0.1",54,6.327827955,3.80809465,5.135690305,6.032470054,6.074830781,3.092943327,3.198266991,3.709629834,0.400905878
"BMR = 10%: Added, BMR: 0.1",55,4.796789459,5.150866035,4.774866378,4.264204309,9.156875335,3.953503252,1.946140188,3.645214746,0.909965785
"BMR = 10%: Added, BMR: 0.1",56,3.056734631,3.972111436,4.514071806,6.542910257,5.721869856,3.793647568,3.240153065,3.540293586,0.893808389
"BMR = 10%: Added, BMR: 0.1",57,4.027208307,5.433112454,4.652561553,3.021084953,5.989787062,2.824013279,3.293641313,3.68127709,3.307571031
"BMR = 10%: Added, BMR: 0.1",58,3.508295247,3.250935589,5.868997713,3.021084953,6.757895108,2.99156814,4.437921615,3.618319003,0.715595968
"BMR = 10%: Added, BMR: 0.1",59,3.40400286,6.866191337,5.469617098,3.021084953,10.89015457,2.765524394,4.947364293,3.611039531,0.399687626
"BMR = 10%: Added, BMR: 0.1",60,5.570099092,5.730637879,4.701314134,2.665597012,19.0699483,3.13494199,3.272195229,3.830015887,0.253370959
"BMR = 10%: Added, BMR: 0.1",61,5.01957074,6.458919784,4.222803473,3.608724634,19.95561883,2.382082611,3.398809456,3.812267335,0.749198892
"BMR = 10%: Added, BMR: 0.1",62,3.900671675,5.367633789,4.188847636,2.950155787,19.95561883,3.841408113,3.028162749,3.817684502,8.174494198
"BMR = 10%: Added, BMR: 0.1",63,4.496135081,5.364421544,7.078528222,4.073725801,19.95561883,2.069259573,1.952182288,3.802248797,6.414995105
"BMR = 10%: Added, BMR: 0.1",64,6.933498411,5.468973672,6.447134962,8.598427892,14.50624126,2.463176423,3.049137994,3.858350485,1.36439041
"BMR = 10%: Added, BMR: 0.1",65,3.106978713,6.238412363,4.154804272,4.44693262,55.95913906,2.603271907,2.455451037,4.24782857,4.030636121
"BMR = 10%: Added, BMR: 0.1",66,3.751374885,7.780421058,6.142087372,4.88390984,34.47707277,2.577228194,2.844858581,3.842232678,4.030636121
"BMR = 10%: Added, BMR: 0.1",67,3.491665046,30.98169558,3.940121898,8.91650236,14.8110729,2.53672078,2.775512694,3.792857556,1.407779697
"BMR = 10%: Added, BMR: 0.1",68,8.059391477,19.74887454,3.398523886,4.402731366,6.009591837,2.831902182,4.056256619,4.390795836,9.546889743
"BMR = 10%: Added, BMR: 0.1",69,11.48266701,10.06132199,3.646461214,3.70230057,6.189260206,3.310349549,3.084765507,4.203491755,9.546889743
"BMR = 10%: Added, BMR: 0.1",70,2.655132059,23.79619087,4.186788173,3.468043633,5.860966633,2.089458626,2.561336878,3.662713305,34.11917494
"BMR = 10%: Added, BMR: 0.1",71,4.529405787,22.17926899,4.480881856,2.671624872,5.87431438,1.884169216,4.193086921,3.759123326,3.276483451
"BMR = 10%: Added, BMR: 0.1",72,4.70955264,21.99724429,4.058800048,2.671624872,5.72674875,5.36678295,1.935670661,3.853568309,2.464354863
"BMR = 10%: Added, BMR: 0.1",73,6.760997556,6.144224059,4.841860735,2.993647306,6.552326079,4.328654112,2.664105798,3.779286305,3.713682921
