bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,39,33.13764346,33.84775519,38.9062369,15.01134821,50.14534143,43.5771075,59.65280077,47.11561174
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,40,37.48205623,34.2414588,38.58211022,14.36333697,41.15500743,12.51836223,76.73790592,46.67529296
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,41,37.10248452,39.07494868,39.79241567,16.28657019,25.75733272,13.39380105,95.34052411,46.8451786
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,42,43.46329489,32.50385559,32.04902843,19.7402047,29.67902514,22.80657872,45.85243796,49.19244179
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,43,33.65132044,32.77937326,46.74887557,21.84033071,40.50934509,14.79037028,45.09442497,48.37497006
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,44,35.28566856,34.94664958,40.47891224,19.1199788,23.77218489,17.23507873,51.62887648,55.87948278
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,45,35.83503311,34.88471196,32.71326985,13.78917058,39.27865072,35.86669197,46.44036311,51.41971953
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,46,49.93866531,35.2626236,37.29577003,14.77544128,46.30613416,59.14006316,58.36112081,52.80524386
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,47,41.89374873,34.80820033,36.02318142,17.43068416,35.62135794,46.09128899,57.00459601,51.17218375
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,48,38.39781336,36.76769982,33.03544052,21.31576404,32.47157765,47.2734405,55.6139173,49.10234004
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,49,38.33382375,32.37084954,33.03544052,21.2141107,20.39666468,53.1301555,59.78599552,49.00650534
