bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,39,11.8619468,32.05078632,29.79576691,0.240307374,0.275113684,245.3990945,33.31131956,74.89298145
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,40,15.08689521,25.78684086,29.83021297,0.064167663,0.282341022,328.1340033,35.68666662,18.91902442
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,41,133.8171095,15.92796286,29.62928257,0.070154487,0.509920992,270.8230933,39.91923528,17.51986025
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,42,12.52689396,19.96291557,29.45310294,0.065449992,0.382005212,304.3432987,38.04449596,13.13902
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,43,408.0468694,18.49901452,29.63130207,0.137333039,0.196191142,349.2524485,40.00795997,13.2457087
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,44,44.8711205,20.17283953,29.63130207,0.118604024,0.212784149,384.1818862,41.38462429,14.16023757
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,45,75.59522193,27.58490901,29.71685609,0.148150466,0.278252124,273.6588562,43.08854222,17.72061233
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,46,2305.293992,26.9249009,29.78723842,0.097111189,0.303369648,245.0877043,36.07319692,77.35186942
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,47,13.96065549,31.80522165,29.71313973,0.091192939,0.14120616,245.4239955,36.07319692,88.00049293
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,48,47.02893071,77.66084049,29.71152304,0.094882,0.146103671,222.8213588,36.21185742,482.7133197
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,49,137.8707601,60.95874981,29.96481682,0.106510136,0.116734119,163.8421214,40.36722546,90.43916836
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,50,20.20062443,22.77360165,29.96481682,0.091325131,0.139611564,54.56524535,37.29187315,49.49390999
